Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
180,2016,20-Mar-16,South,Second Round,13 Hawaii,60,5 Maryland,73,,-13,"Spokane, WA"
181,2016,19-Mar-16,West,Second Round,12 Yale,64,4 Duke,71,,-7,"Providence, RI"
182,2016,19-Mar-16,South,Second Round,11 Wichita State,57,3 Miami (FL),65,,-8,"Providence, RI"
183,2016,19-Mar-16,Midwest,Second Round,1 Virginia,77,9 Butler,69,,8,"Raleigh, NC"
184,2016,19-Mar-16,Midwest,Second Round,3 Utah,59,11 Gonzaga,82,,-23,"Denver, CO"
185,2016,19-Mar-16,East,Second Round,9 Providence,66,1 North Carolina,85,,-19,"Raleigh, NC"
186,2016,19-Mar-16,East,Second Round,1 North Carolina,85,9 Providence,66,,19,"Raleigh, NC"
187,2016,19-Mar-16,South,Second Round,3 Miami (FL),65,11 Wichita State,57,,8,"Providence, RI"
188,2016,19-Mar-16,East,Second Round,4 Kentucky,67,5 Indiana,73,,-6,"Des Moines, IA"
189,2016,19-Mar-16,South,Second Round,1 Kansas,73,9 Connecticut,61,,12,"Des Moines, IA"
190,2016,19-Mar-16,Midwest,Second Round,4 Iowa State,78,12 Arkansas-Little Rock,61,,17,"Denver, CO"
191,2016,19-Mar-16,East,Second Round,5 Indiana,73,4 Kentucky,67,,6,"Des Moines, IA"
192,2016,19-Mar-16,Midwest,Second Round,11 Gonzaga,82,3 Utah,59,,23,"Denver, CO"
193,2016,19-Mar-16,West,Second Round,4 Duke,71,12 Yale,64,,7,"Providence, RI"
194,2016,19-Mar-16,South,Second Round,9 Connecticut,61,1 Kansas,73,,-12,"Des Moines, IA"
195,2016,19-Mar-16,Midwest,Second Round,9 Butler,69,1 Virginia,77,,-8,"Raleigh, NC"
196,2016,19-Mar-16,Midwest,Second Round,12 Arkansas-Little Rock,61,4 Iowa State,78,,-17,"Denver, CO"
197,2016,18-Mar-16,East,First Round,2 Xavier,71,15 Weber State,53,,18,"St. Louis, MO"
198,2016,18-Mar-16,East,First Round,7 Wisconsin,47,10 Pittsburgh,43,,4,"St. Louis, MO"
199,2016,18-Mar-16,East,First Round,3 West Virginia,56,14 Stephen F. Austin,70,,-14,"Brooklyn, NY"
200,2016,18-Mar-16,East,First Round,15 Weber State,53,2 Xavier,71,,-18,"St. Louis, MO"
301,2015,22-Mar-15,Midwest,Third Round,5 West Virginia,69,4 Maryland,59,,10,"Columbus, OH"
302,2015,22-Mar-15,East,Third Round,2 Virginia,54,7 Michigan State,60,,-6,"Charlotte, NC"
303,2015,22-Mar-15,South,Third Round,8 San Diego State,49,1 Duke,68,,-19,"Charlotte, NC"
304,2015,22-Mar-15,West,Third Round,8 Oregon,65,1 Wisconsin,72,,-7,"Omaha, NE"
305,2015,22-Mar-15,East,Third Round,3 Oklahoma,72,11 Dayton,66,,6,"Columbus, OH"
306,2015,22-Mar-15,East,Third Round,5 Northern Iowa,53,4 Louisville,66,,-13,"Seattle, WA"
307,2015,22-Mar-15,East,Third Round,7 Michigan State,60,2 Virginia,54,,6,"Charlotte, NC"
308,2015,22-Mar-15,Midwest,Third Round,4 Maryland,59,5 West Virginia,69,,-10,"Columbus, OH"
309,2015,22-Mar-15,East,Third Round,4 Louisville,66,5 Northern Iowa,53,,13,"Seattle, WA"
310,2015,22-Mar-15,Midwest,Third Round,2 Kansas,65,7 Wichita State,78,,-13,"Omaha, NE"
311,2015,22-Mar-15,South,Third Round,7 Iowa,68,2 Gonzaga,87,,-19,"Seattle, WA"
312,2015,22-Mar-15,South,Third Round,2 Gonzaga,87,7 Iowa,68,,19,"Seattle, WA"
313,2015,22-Mar-15,South,Third Round,1 Duke,68,8 San Diego State,49,,19,"Charlotte, NC"
314,2015,22-Mar-15,East,Third Round,11 Dayton,66,3 Oklahoma,72,,-6,"Columbus, OH"
315,2015,21-Mar-15,West,Third Round,6 Xavier,75,14 Georgia State,67,,8,"Jacksonville, FL"
316,2015,21-Mar-15,East,Third Round,1 Villanova,68,8 North Carolina State,71,,-3,"Pittsburgh, PA"
317,2015,21-Mar-15,South,Third Round,5 Utah,75,4 Georgetown,64,,11,"Portland, OR"
318,2015,21-Mar-15,South,Third Round,11 UCLA,92,14 Alabama-Birmingham,75,,17,"Louisville, KY"
319,2015,21-Mar-15,West,Third Round,10 Ohio State,58,2 Arizona,73,,-15,"Portland, OR"
320,2015,21-Mar-15,Midwest,Third Round,3 Notre Dame,67,6 Butler,64,OT,3,"Pittsburgh, PA"
321,2015,21-Mar-15,East,Third Round,8 North Carolina State,71,1 Villanova,68,,3,"Pittsburgh, PA"
322,2015,21-Mar-15,West,Third Round,4 North Carolina,87,5 Arkansas,78,,9,"Jacksonville, FL"
323,2015,21-Mar-15,Midwest,Third Round,1 Kentucky,64,8 Cincinnati,51,,13,"Louisville, KY"
